Slice,Distance,BandArea,BandMedian
215,6.0,65,156.0
215,8.0,41,184.0
216,2.0,102,98.0
216,4.0,88,120.5
216,6.0,61,146.0
217,2.0,102,95.0
217,4.0,89,125.0
217,6.0,55,151.0
218,2.0,95,105.0
218,4.0,80,139.0
218,6.0,52,180.5
219,2.0,89,110.0
219,4.0,75,150.0
219,6.0,48,190.5
220,2.0,88,108.5
220,4.0,74,148.5
220,6.0,47,184.0
221,2.0,85,109.0
221,4.0,75,156.0
221,6.0,46,190.0
222,2.0,84,120.0
222,4.0,76,171.0
222,6.0,45,211.0
223,2.0,86,128.5
223,4.0,69,177.0
223,6.0,40,221.0
224,2.0,90,127.5
224,4.0,67,176.0
225,2.0,97,132.0
225,4.0,68,165.5
226,2.0,109,136.0
226,4.0,77,169.0
226,6.0,33,181.0
227,2.0,104,111.0
227,4.0,74,132.0
227,6.0,36,147.5
228,2.0,96,99.5
228,4.0,70,128.5
229,2.0,212,103.0
229,4.0,126,147.0
229,6.0,56,188.5
230,2.0,89,129.0
230,4.0,69,169.0
231,2.0,114,149.5
231,4.0,91,174.0
231,6.0,55,175.0
232,2.0,105,164.0
232,4.0,85,204.0
232,6.0,51,215.0
233,2.0,101,149.0
233,4.0,83,192.0
233,6.0,52,225.0
234,2.0,105,136.0
234,4.0,85,178.0
234,6.0,50,219.0
235,2.0,149,124.0
235,4.0,111,149.0
236,2.0,167,131.0
237,2.0,110,132.0
237,4.0,91,176.0
237,6.0,59,194.0
238,2.0,114,133.0
238,4.0,94,177.0
238,6.0,61,197.0
239,2.0,120,125.0
239,4.0,98,167.0
240,2.0,116,134.0
240,4.0,92,170.0
241,2.0,206,111.0
241,4.0,162,145.5
242,2.0,199,103.0
242,4.0,184,132.0
243,2.0,196,114.0
243,4.0,182,146.5
244,2.0,122,131.0
244,4.0,104,167.5
245,2.0,126,158.5
245,4.0,98,200.0
246,2.0,142,148.0
247,2.0,153,159.0
248,2.0,161,152.0
249,2.0,178,156.0
250,2.0,206,136.0
251,2.0,146,116.5
251,4.0,88,156.5
252,2.0,127,119.0
